,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,MolWt,HeavyAtomMolWt,ExactMolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumValenceElectrons,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,fr_Ar_N,fr_NH0,fr_alkyl_halide,fr_aryl_methyl,fr_ether,fr_halogen,fr_imidazole,fr_quatN,fr_sulfonamd,fr_unbrch_alkane
Kappa_PC2,,,,,,,,,,,,,,,,,,,,,,,,,0.07414492160768917,0.1647487996356744,0.9835447949221193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kappa_PC3,,,,,,,,,,,,,,,,,,,,,,,,,-0.7096262429309489,0.70166225032932,-0.06403656616731383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25085415729959304,0.19491281234269042,0.4506666319824775,0.01891474587459932,0.3683345440311677,-0.13295940784397858,0.4516639290354149,0.4454316966737601,-0.20199920004362287,-0.22517985455210887,-0.04990211456670536,-0.21416092115369817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04289209697618164,-0.3859433424207863,0.2558805235331997,-0.47737265779912075,0.3208936067966827,0.07844652567516495,-0.1423358304195259,0.27725199322508925,0.3367300918960743,0.37819167651517144,0.2912626480537388,0.09134417306691084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39024971251728313,-0.05637011879182929,0.033954082401906255,-0.23604779440110302,0.056182690022039995,0.10113860094424877,-0.2257530590199145,-0.06686441900770829,-0.4563336878207155,-0.4414532098753267,0.49781297886505416,-0.260568977649392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49896789116983764,-0.0869772251324206,0.013684574667270744,0.23783061781137804,-0.11267051872275799,0.5567710996694375,0.11137281934036,-0.16412767996111463,0.12424855147004871,0.07244303880170361,0.40160638191841075,-0.37777168990408383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032381411080291266,-0.2558927859890472,-0.0681723224321665,0.19958524694493007,0.2410869232545842,0.5549490362348817,-0.024090827066320042,0.18328570283121082,-0.30679285383788,-0.16981991115750666,-0.15663105723581788,0.5841483461206998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33732613296473984,0.6730222042882125,-0.20335370766268163,0.08554546974708344,0.37673030071079194,0.35221691692650864,-0.10218820590086519,0.13450019662514884,0.20042079061638693,0.19413871253313722,0.02318718912216694,-0.10802892031614782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15509016715631332,-0.4363365382856711,-0.1578402548881467,0.5837705171997742,0.3720636931528472,-0.22199077554820687,-0.23966695640282995,0.1356010025565234,0.1297977396469458,-0.04448743685675166,-0.08068230090600426,-0.3619122899013911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29625506494062037,0.04926792819293099,0.18212642790321032,0.4372948303184902,-0.0984238171181884,-0.19057490922540404,0.34237189163783177,-0.02789613005497646,0.18067924393768997,0.021347047494774698,0.5675478238582002,0.4076700078907327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOE_VSA_PC9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16473467893853355,0.04595546317724006,-0.17368102104977196,-0.15459024758461387,0.07627940372412789,-0.013405376832183636,-0.05124195976060282,0.0338517946269193,0.6082543626435459,-0.7198244188435466,0.036699068453184505,0.1320985237398176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2028016147699012,-0.25723742875268707,0.40825541890427147,0.41697247364055057,-0.14319907045740943,-0.5405350707507289,0.4893646319110567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666202962065708,0.6477859823102985,0.11948115114890279,0.08892769185382485,0.07627609217014612,-0.1597753321741151,0.28715957748494597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16137630799951516,0.055086468207186774,0.35731821538087394,0.2141851920725789,0.8752512174592917,0.11906449674412971,-0.1308835995908567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13255855118755394,-0.05243765672457105,-0.3591097806317859,-0.6026932223400762,0.38936330852639056,-0.3391502013011832,0.4699499151983833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1205795758524308,0.10837294930673627,0.725874123985366,-0.5939702773044627,-0.19610235736576556,0.21763925385559865,0.09054808761046176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_VSA_PC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6741997615888833,0.6853066913566814,-0.15604234287235394,0.14762292356115836,-0.1314572323417282,0.04839842592900592,0.10022109737007044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34212329613370585,0.4727595812727443,-0.19660494386402919,0.4655018128975479,0.4044848497227883,-0.22187149190201222,-0.11799967242128567,-0.16730816821256125,0.3864630491760914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17384477616404634,-0.06865889578018072,0.3206415930714845,0.35980667728865173,-0.38488330976346985,-0.0718377537718018,0.47655543867070893,-0.5871731272935143,-0.0872862019912708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42615350360047605,-0.15512264973667642,-0.14131564803505708,-0.0882818306625239,-0.11728869223629669,0.7759289849799991,-0.010170127955821975,-0.07001054530847937,0.3817578105126286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12939888901278376,0.15118231269348445,0.6401341530194115,-0.1490689122803649,0.21520780569169162,-0.010845770880268174,0.4360977325887677,0.4482394148936614,0.30145435072441423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5130608750842078,-0.18387952006947297,0.4881461799061729,0.03038617127086246,0.026860851672961428,-0.090152808095768,-0.6113546487485696,-0.0018252249929055636,-0.28485079610638814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
