Cationic family,Anionic family,N,Tmin / K,Tmax / K,ηmin / mPa s,ηmax / mPa s,Water content / ppm,Method,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NOCount,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,MolMR,fr_Ar_N,fr_NH0,fr_alkyl_halide,fr_aryl_methyl,fr_halogen,fr_imidazole,fr_quatN,fr_sulfonamd,fr_unbrch_alkane
azepanium,NTf2 derivatives,13.0,290.15,357.65,14.04,221.8,100,rheometer,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,10.516203703703704,10.516203703703704,0.9131944444444444,-5.194444444444445,0.7255186336442825,285.3059999999999,263.12999999999994,285.155178224,114.0,0.4302922167488184,-0.541726828036536,0.541726828036536,0.4302922167488184,1.2105263157894737,1.631578947368421,1.9473684210526316,19.413488004632033,10.209864201930964,2.284043901297048,-2.3250241169770045,2.149341016534396,-2.4635653172007754,5.702479522937583,-0.9086444172700091,2.515841607028014,3.985714136207277e-07,261.4354478549477,14.941311299868556,11.46270613541161,11.46270613541161,8.711142625940434,6.318015318586851,6.318015318586851,4.9825534743581255,4.9825534743581255,3.2125977204098852,3.2125977204098852,1.9876853771936522,1.9876853771936522,-0.8200000000000003,8470.838690863324,18.18,8.370537199588172,8.825001564894992,111.28932673351632,19.1209583904072,12.514061693864424,0.0,0.0,6.176298517443475,0.0,0.0,13.171245143024459,0.0,25.683286491704038,7.109797541277533,26.744066759015258,32.29220353343166,5.969305287951849,0.0,0.0,31.859585009147512,40.398620706205364,0.0,5.106527394840706,13.171245143024459,57.02725536929532,9.53140013787187,0.0,25.683286491704038,0.0,0.0,49.36,12.145603805395325,13.171245143024459,0.0,0.0,6.606881964512918,49.800586567136385,7.109797541277533,0.0,7.04767198267719,14.637927532712578,37.913577097505666,8.784722222222221,8.784722222222221,0.0,-3.0069444444444438,0.4742786281179132,4.8052777777777775,4.161033163265306,0.9166666666666666,19.0,4.0,0.0,0.0,3.0,7.0,3.0,1.0,0.9519999999999995,62.191400000000044,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
azepanium,sulfonates,15.0,298.1,368.1,26.5,797.5,150,rheometer,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.3784776153803301,496.492,470.28400000000005,496.11364787199994,182.0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,0.7333333333333333,1.0666666666666667,1.3333333333333333,32.28904491607932,10.209864201930973,2.464792469872714,-2.3712031957206574,2.3567364465419933,-2.5205084125030464,8.125016144951578,-0.9275691811912072,2.8192610335375683,5.606666505555562e-07,649.4146041248135,23.69238815542512,16.499268164631662,18.132261326487118,13.535533905932736,8.732714662013027,11.612841319614306,6.552029856890379,9.974400109975509,4.335652702368744,7.075634769112856,2.702371282029285,4.411953575872196,-0.6800000000000002,896651.8754114559,29.319999999999997,11.802209540417595,9.635027564545348,171.74502051679355,18.084157890192564,13.08951281182515,20.046582306815168,0.0,11.01666100252851,0.0,16.835593968657875,26.34249028604892,0.0,25.683286491704038,14.219595082555067,26.303276740850986,57.13484102000152,20.046582306815168,0.0,0.0,36.699947494232546,53.612384635231194,4.127401124897844,0.0,26.34249028604892,85.94767046411219,29.520308214415266,0.0,25.683286491704038,0.0,4.127401124897844,100.84,31.063243309343676,43.178084254706796,0.0,0.0,30.43067786574883,43.255830161223805,14.219595082555067,0.0,0.0,9.473725907600098,120.86041808390021,0.0,0.0,-12.406111111111112,0.0,5.542446145124716,6.687091836734694,-9.85051162131519,1.0,30.0,8.0,0.0,0.0,6.0,16.0,8.0,1.0,2.7293000000000003,95.25700000000008,0.0,2.0,6.0,0.0,6.0,0.0,1.0,2.0,0.0
azepanium,carboxylates,15.0,298.1,368.1,17.8,576.9,500,rheometer,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.3031115739415493,478.521,450.297,478.1394686959999,176.0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,0.7586206896551724,1.1724137931034482,1.5172413793103448,32.28904467427518,10.154727083597106,2.464620307100148,-2.330184736981046,2.3567392403359393,-2.448640468858544,8.125015219025798,-0.9085953082959124,2.7411865631884424,5.413333175287623e-07,640.5756363846132,22.98528137423857,16.389878364890485,18.022871526745938,12.974873734152915,9.176960422565344,12.057087080166623,7.18134757606731,10.603717829152437,4.47863459487094,7.218616661615053,2.8100103081454026,4.519592601988313,-0.6000000000000001,505880.49786330067,28.400000000000002,11.14186095358118,10.313766949053653,167.8828721721764,8.610431982592468,0.0,20.046582306815168,0.0,11.01666100252851,0.0,16.835593968657875,26.34249028604892,19.765380445542643,38.524929737556064,0.0,26.681941200414915,47.66111511240142,20.046582306815168,0.0,0.0,69.30697118562722,26.681941200414915,4.127401124897844,0.0,26.34249028604892,59.01722702929591,20.046582306815168,0.0,58.29031018309871,0.0,4.127401124897844,82.38,31.063243309343676,43.178084254706796,0.0,0.0,4.127401124897844,75.48387305884043,0.0,0.0,13.971409182367815,0.0,110.54729591836735,0.0,0.0,-12.406111111111112,0.0,11.568005794910558,6.597688649533888,-10.973545918367343,1.0,29.0,6.0,0.0,0.0,4.0,14.0,7.0,1.0,4.646600000000005,96.70400000000008,0.0,2.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0
azepanium,NTf2 derivatives,12.0,292.05,357.35,12.2,206.5,100,rheometer,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,10.662037037037038,10.662037037037038,0.7120181405895691,-6.090277777777778,0.31006146358668457,365.414,339.20599999999996,365.148378592,140.0,0.485234805463619,-0.7411547731218965,0.7411547731218965,0.485234805463619,1.0434782608695652,1.5217391304347827,1.9130434782608696,32.240194102099125,10.209864201930992,2.3646141463881203,-2.3273081654261305,2.1999975648852903,-2.4656077553236355,7.861229716825422,-0.9087069560085764,2.6214731257313817,5.151666372696271e-07,406.3232787438053,17.985281374238575,13.601664569176295,14.418161150104021,10.517766952966369,7.441241442544546,8.84948973300841,5.709574246906802,7.080732587256942,3.6366245181518124,4.203571227665655,2.205268977761093,2.205268977761093,-0.42000000000000004,48709.592149214805,22.579999999999995,10.445899468831387,10.876478147031955,135.44069423522063,18.509506638985087,6.544756405912575,10.118126859033554,0.0,5.508330501264255,0.0,8.417796984328938,13.171245143024459,0.0,25.683286491704038,7.109797541277533,39.95783068804109,40.09854876633849,10.118126859033554,0.0,0.0,31.191616992968292,53.612384635231194,0.0,0.0,13.171245143024459,76.57429285220937,19.59185276663365,0.0,25.683286491704038,0.0,0.0,75.66,15.62645736029781,13.171245143024459,0.0,6.606881964512918,19.75852033493841,43.255830161223805,7.109797541277533,0.0,7.04767198267719,22.4442727656194,70.59525148022172,0.0,0.0,-5.645833333333333,0.0,5.597109056968365,6.130023935500127,-2.0098844726902083,1.0,23.0,6.0,0.0,0.0,5.0,10.0,6.0,1.0,1.7213999999999996,77.70060000000005,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0
azepanium,NTf2 derivatives,13.0,290.15,357.65,20.29,561.3,100,rheometer,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,8.770833333333334,8.770833333333334,1.0413078703703702,-4.888888888888889,0.6553678987638036,300.295,279.127,300.123893782,112.0,0.2621199175773143,-0.7563898629138743,0.7563898629138743,0.2621199175773143,1.3,1.9,2.45,31.204229640974084,10.268148912716663,2.11909894836308,-2.01134629758121,2.185240470875014,-2.297998920256179,7.431595492294193,-0.6682165428250735,2.7254847660271437,3.4666664310111283e-07,582.8040605649028,15.173362107437434,11.767743029121839,12.662170220121753,9.363703305156275,6.602779110260788,8.133075853601007,4.427724321238239,5.408878222680387,2.8726181126488015,2.8726181126488015,2.001198996594597,2.001198996594597,-1.2000000000000002,22866.817186967735,16.853191489361702,7.547431043807464,5.426675637906941,118.08961479735567,14.680234808257424,0.0,11.033401435232523,6.3273200747645415,0.0,4.565048284931329,9.13419929558271,0.0,25.477292959539852,25.477292959539852,0.0,13.08951281182515,23.81238274098011,18.856098558364693,4.567099647791355,0.0,39.77863045705841,0.0,30.59278834861098,9.46051125054383,0.0,14.353922853296304,17.65456109675648,0.0,26.689117645233267,30.59278834861098,11.033401435232523,89.4,7.822697123132171,0.0,0.0,0.0,13.08951281182515,23.87504468108454,0.0,0.0,53.57446204357494,19.245283093188753,13.444768518518519,22.923611111111114,0.0,2.698058390022676,0.0,4.737447562358277,6.59704152494331,-4.888888888888889,0.46153846153846156,20.0,6.0,1.0,2.0,3.0,7.0,4.0,2.0,1.1881999999999997,74.75910000000003,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
azepanium,NTf2 derivatives,15.0,298.1,368.1,15.7,358.0,150,rheometer,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.5009205954984117,436.396,418.252,436.0561329959999,156.0,0.4802902001629027,-0.4483533933474078,0.4802902001629027,0.4483533933474078,0.9615384615384616,1.4230769230769231,1.8076923076923077,32.28904423801921,10.19688431072861,2.4644424824968842,-2.2244944897719634,2.356327439083602,-2.2957785258198347,8.125012532962286,-0.506402565853539,2.6153939499132903,5.015151374376497e-07,655.5686745619126,20.811554787871636,13.762592749421605,15.395585911277058,11.549642036287642,7.114464358701663,9.994591016302943,4.975116418784619,8.397486671869745,2.9021055699608294,5.642087636704939,1.6802091065067173,3.3897914003496257,-1.0900000000000005,124236.44340878112,24.910000000000004,9.211739841674829,7.652481272719595,146.67213775975358,8.864264078697893,13.592428388589765,20.046582306815168,0.0,16.91440634688612,0.0,21.41111982813769,26.34249028604892,0.0,19.765380445542643,6.4208216229260096,13.027703587438928,52.490473067986656,25.944327651172777,0.0,0.0,43.62368469392317,20.199310353102682,4.127401124897844,0.0,26.34249028604892,58.524836528126485,24.783445260615217,0.0,32.60702369139466,0.0,4.127401124897844,94.62,31.063243309343676,43.178084254706796,0.0,0.0,23.699861118249345,25.160210213135638,0.0,6.923737199690624,11.623197842157005,4.736862953800049,116.94666666666667,0.0,0.0,-12.406111111111112,1.1851851851851853,5.081351095993953,4.014621126228269,-11.321712962962959,0.9090909090909091,26.0,7.0,0.0,0.0,5.0,15.0,3.0,1.0,2.697000000000001,79.46100000000003,0.0,2.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0
azepanium,NTf2 derivatives,13.0,292.15,366.95,10.64,185.0,100,rheometer,COCCOCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.4832111609951164,436.40000000000003,418.25600000000003,436.06736637599994,156.0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,0.9230769230769231,1.2307692307692308,1.4615384615384615,32.28904423876285,10.63394046034954,2.464660156783879,-2.2244944910355415,2.356257664771288,-2.3618771904846327,8.125013090722257,-0.502067361650694,2.7423460550275696,5.015151377737608e-07,675.6000970708035,21.137828201504696,14.127451306398015,15.760444468253468,11.371009241333562,6.742208006815195,9.622334664416476,5.073436459206513,8.495806712291639,3.050661974939083,5.790644041683192,1.729383211679602,3.4389655055225106,-1.2900000000000005,113047.7314264015,24.709999999999997,8.16055093411981,6.152567703695086,146.71331775625683,4.127401124897844,0.0,20.046582306815168,0.0,16.976215571272345,14.37534532118077,16.835593968657875,26.34249028604892,0.0,6.923737199690624,0.0,40.77728516576929,47.753610114186614,26.006136875559,9.799819461700956,0.0,17.940398202219132,40.77728516576929,4.127401124897844,0.0,26.34249028604892,88.96444002688027,20.046582306815168,0.0,6.923737199690624,0.0,4.127401124897844,91.87,31.063243309343676,43.178084254706796,0.0,0.0,23.76167034263557,5.959554568743835,0.0,0.0,42.44209846890296,0.0,111.45333333333333,4.590277777777778,0.0,-12.406111111111112,1.340277777777778,0.0,5.545,-7.022777777777774,0.9,26.0,8.0,0.0,0.0,4.0,16.0,3.0,1.0,0.9410999999999996,80.30100000000003,0.0,4.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0
azepanium,sulfonates,15.0,298.1,368.1,20.0,471.2,150,rheometer,COCCOCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.47420845808318496,450.4270000000001,430.26700000000005,450.08301643999994,162.0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,0.8518518518518519,1.1481481481481481,1.3703703703703705,32.28904439561054,10.559613299573538,2.464726035976447,-2.224494491718077,2.3563005737995972,-2.3780424272326046,8.125014491336534,-0.5288365026048635,2.78033144608322,5.11333320080556e-07,685.7988897404225,21.844934982691242,14.834558087584563,16.467551249440017,11.909014043794347,7.318328958518623,10.198455616119904,5.231550342214932,8.65392059530006,3.2811830436679315,6.021165110412041,1.9944113656668905,3.703993659509799,-1.2900000000000005,191275.6821647412,25.71,8.809192071249878,6.670300520668216,153.07825987065343,4.127401124897844,0.0,20.046582306815168,0.0,16.976215571272345,14.37534532118077,16.835593968657875,26.34249028604892,0.0,13.847474399381248,0.0,40.27436958900468,47.753610114186614,26.006136875559,9.799819461700956,0.0,24.864135401909756,40.27436958900468,4.127401124897844,0.0,26.34249028604892,88.46152445011565,20.046582306815168,0.0,13.847474399381248,0.0,4.127401124897844,91.87,31.063243309343676,43.178084254706796,0.0,0.0,30.306426748548144,5.959554568743835,0.0,0.0,42.318163685916396,0.0,111.57833333333333,4.652777777777778,0.0,-12.406111111111112,1.3750000000000002,0.0,8.91537037037037,-9.115370370370368,0.9090909090909091,27.0,8.0,0.0,0.0,4.0,16.0,4.0,1.0,1.3312,84.91800000000003,0.0,4.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0
azepanium,carboxylates,15.0,298.1,368.1,16.9,429.3,500,rheometer,COCCOCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,11.438425925925927,11.438425925925927,0.7777777777777777,-6.721527777777777,0.47420845808318496,450.427,430.26700000000005,450.08301643999994,162.0,0.4802902001629027,-0.4206749315142703,0.4802902001629027,0.4206749315142703,0.9259259259259259,1.2592592592592593,1.5185185185185186,32.289044395495615,10.461281041123462,2.464700495344209,-2.22449449340223,2.3562998848903547,-2.365620353978638,8.125014477931321,-0.5059216888614767,2.75123235511789,5.113333199072228e-07,691.7988897404226,21.844934982691242,14.834558087584563,16.467551249440017,11.871009241333562,7.242208006815195,10.122334664416476,5.480815490939653,8.90318574402478,3.135337320288773,5.875319387032882,2.023372052067261,3.7329543459101697,-1.2900000000000005,179509.657474377,25.71,8.809192071249878,6.986310298073493,153.07825987065343,4.127401124897844,0.0,20.046582306815168,0.0,16.976215571272345,14.37534532118077,16.835593968657875,26.34249028604892,6.923737199690624,6.4208216229260096,0.0,40.77728516576929,47.753610114186614,26.006136875559,9.799819461700956,0.0,24.36121982514514,40.77728516576929,4.127401124897844,0.0,26.34249028604892,88.96444002688027,20.046582306815168,0.0,13.344558822616634,0.0,4.127401124897844,91.87,31.063243309343676,43.178084254706796,0.0,0.0,23.76167034263557,12.380376191669844,0.0,0.0,42.44209846890296,0.0,111.50888888888889,4.630277777777778,0.0,-12.406111111111112,1.3581944444444445,1.21,5.6625,-6.963749999999997,0.9090909090909091,27.0,8.0,0.0,0.0,4.0,16.0,4.0,1.0,1.3312,84.91800000000003,0.0,4.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0
azepanium,NTf2 derivatives,12.0,289.55,347.95,21.39,395.3,100,rheometer,COCCOCC[N+]1(CCOCCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,7.427083333333333,7.427083333333333,1.278287037037037,1.278287037037037,0.036938873150495904,991.7649999999984,864.7569999999994,991.0043980319998,416.0,0.30743751754373905,-0.3851818840211178,0.3851818840211178,0.30743751754373905,0.2676056338028169,0.43661971830985913,0.6056338028169014,15.303394096772411,10.07298101493379,2.512252121578253,-2.187824046153584,2.576769210969788,-2.2690672447019073,6.088565100761125,0.55342692204011,4.116269641218704,9.28241168160598e-06,1005.7685117004069,51.76918814277091,49.36704775707327,49.36704775707327,35.106343992275555,32.45525486747016,32.45525486747016,22.168010674842726,22.168010674842726,15.348600827586083,15.348600827586083,10.705332830967558,10.705332830967558,-2.21,1714741304769665.2,68.79,57.07488985915536,43.8616525511577,446.6467052429744,10.523783109476973,0.0,0.0,0.0,17.062158824050687,20.016517796557764,0.0,0.0,311.2169313610361,38.524929737556064,51.65485062703313,0.0,0.0,17.062158824050687,0.0,0.0,349.741861098592,53.96826762802688,5.316788604006331,14.699729192551434,17.062158824050687,39.26853843547545,0.0,22.91009530103465,349.741861098592,0.0,5.316788604006331,71.4,0.0,0.0,0.0,0.0,0.0,359.8542885274813,17.062158824050687,0.0,61.5589409947015,10.523783109476973,0.0,9.005221538160473,17.4375,5.205983498431676,0.0,70.56362142818199,21.78767353522585,0.0,0.9230769230769231,71.0,6.0,0.0,1.0,5.0,6.0,57.0,1.0,22.42896000000001,320.105,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
